$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,1.2,5355,0.9586,0.5346
0.0,0.2,1438,0.7134,0.4168
0.0,0.4,2975,0.8680,0.5286
0.0,0.8,4770,0.9369,0.5112
0.5,0.6,1177,0.9419,0.5951
0.5,0.8,1788,0.9403,0.5605
1.0,0.8,488,0.7718,0.4989
1.0,1.2,1063,0.8404,0.4141
1.5,0.8,28,0.3610,0.1712
1.5,1.2,486,0.7248,0.2581
