classification lower bound,drift upper bound,classifier name,number of features,train score,test score
0.0,0.4,logit,6027,0.9497,0.5348
0.0,0.4,svm,6027,0.9586,0.5346
0.0,0.4,random_forest,6027,0.9948,0.7118
0.0,5e-05,logit,3900,0.9263,0.5000
0.0,5e-05,svm,3900,0.9264,0.4974
0.0,5e-05,random_forest,3900,0.9926,0.7258
0.0,2.5e-05,logit,3566,0.9314,0.4985
0.0,2.5e-05,svm,3566,0.9222,0.4821
0.0,2.5e-05,random_forest,3566,0.9907,0.7366
0.0,1e-05,logit,3001,0.9193,0.5101
0.0,1e-05,svm,3001,0.9085,0.5064
0.0,1e-05,random_forest,3001,0.9908,0.7359
2.5e-05,0.4,logit,2754,0.9651,0.5284
2.5e-05,0.4,svm,2754,0.9673,0.5346
2.5e-05,0.4,random_forest,2754,0.9954,0.7258
2.5e-05,5e-05,logit,1661,0.9128,0.5383
2.5e-05,5e-05,svm,1661,0.9308,0.5080
2.5e-05,5e-05,random_forest,1661,0.9937,0.7265
2.5e-05,2.5e-05,logit,1458,0.9147,0.5372
2.5e-05,2.5e-05,svm,1458,0.9116,0.5279
2.5e-05,2.5e-05,random_forest,1458,0.9920,0.7372
5e-05,0.4,logit,2057,0.9630,0.5311
5e-05,0.4,svm,2057,0.9618,0.5513
5e-05,0.4,random_forest,2057,0.9958,0.7175
5e-05,5e-05,logit,1186,0.9034,0.5641
5e-05,5e-05,svm,1186,0.9300,0.5308
5e-05,5e-05,random_forest,1186,0.9943,0.7307
5e-05,1.25e-05,logit,819,0.8789,0.5764
5e-05,1.25e-05,svm,819,0.8888,0.5760
5e-05,1.25e-05,random_forest,819,0.9919,0.7337
0.00025,0.4,logit,703,0.9272,0.6193
0.00025,0.4,svm,703,0.9100,0.5945
0.00025,0.4,random_forest,703,0.9961,0.7325
0.00025,0.002,logit,678,0.9039,0.6294
0.00025,0.002,svm,678,0.9169,0.6287
0.00025,0.002,random_forest,678,0.9948,0.7417
0.00025,2.5e-05,logit,339,0.8835,0.6161
0.00025,2.5e-05,svm,339,0.8849,0.5973
0.00025,2.5e-05,random_forest,339,0.9937,0.7526
0.001,0.4,logit,187,0.6823,0.5260
0.001,0.4,svm,187,0.6946,0.5908
0.001,0.4,random_forest,187,0.9940,0.7209
0.001,0.0005,logit,172,0.6801,0.5296
0.001,0.0005,svm,172,0.6849,0.4715
0.001,0.0005,random_forest,172,0.9917,0.7219
0.001,5e-05,logit,114,0.7202,0.4882
0.001,5e-05,svm,114,0.6968,0.4628
0.001,5e-05,random_forest,114,0.9898,0.7027
