$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,0.03,5355,0.9497,0.5348
0.0,0.0005,5013,0.9502,0.5216
0.0,0.00025,4442,0.9475,0.4943
0.0,0.0001,3395,0.9008,0.4648
0.0,1e-05,1131,0.6623,0.3915
1e-05,0.0005,3243,0.9589,0.5503
1e-05,0.00025,2696,0.9595,0.5163
1e-05,0.0001,1787,0.9223,0.4094
1e-05,1e-05,295,0.4607,0.3299
5e-05,0.0005,1760,0.9515,0.5249
5e-05,0.00025,1320,0.9404,0.5094
5e-05,0.0001,702,0.8305,0.4910
5e-05,1e-05,47,0.4123,0.2866
0.0001,0.0001,339,0.7817,0.5699
0.0001,0.0005,1093,0.9446,0.6073
0.0001,0.00025,742,0.8877,0.6057
0.0001,0.0001,339,0.7817,0.5699
0.0005,0.0001,40,0.3210,0.2703
0.0005,0.0005,239,0.7935,0.4923
0.0005,0.00025,131,0.6864,0.4641
0.001,0.03,187,0.6823,0.5260
