$threshold_{class}$,$threshold_{drift}$,Liczba cech,$X_{train}$ $BAC$,$X_{test}$ $BAC$
0.0,1.2,5355,0.9948,0.7222
0.0,0.2,1438,0.9214,0.5574
0.0,0.4,2975,0.9873,0.6981
0.0,0.8,4770,0.9931,0.7174
0.5,0.6,1177,0.9912,0.6962
0.5,0.8,1788,0.9935,0.6981
1.0,0.8,488,0.9937,0.6903
1.0,1.2,1063,0.9961,0.7038
1.5,0.8,28,0.9694,0.4306
1.5,1.2,486,0.9933,0.6160
