classification lower bound,drift upper bound,classifier name,number of features,train score,test score
0.0,0.4,logit,5355,0.9497,0.5348
0.0,0.4,svm,5355,0.9586,0.5346
0.0,0.4,random_forest,5355,0.9948,0.7222
0.0,0.002,logit,5308,0.9508,0.5309
0.0,0.002,svm,5308,0.9505,0.5320
0.0,0.002,random_forest,5308,0.9930,0.7180
0.0,0.0005,logit,5263,0.9507,0.5250
0.0,0.0005,svm,5263,0.9562,0.5239
0.0,0.0005,random_forest,5263,0.9943,0.7097
0.0,5e-05,logit,4628,0.9396,0.5150
0.0,5e-05,svm,4628,0.9434,0.5134
0.0,5e-05,random_forest,4628,0.9928,0.7206
0.0,2.5e-05,logit,4254,0.9410,0.4980
0.0,2.5e-05,svm,4254,0.9391,0.5028
0.0,2.5e-05,random_forest,4254,0.9929,0.6994
0.0,1.25e-05,logit,3799,0.9247,0.4735
0.0,1.25e-05,svm,3799,0.9277,0.4749
0.0,1.25e-05,random_forest,3799,0.9928,0.7060
0.0,1e-05,logit,3632,0.9223,0.4865
0.0,1e-05,svm,3632,0.9250,0.4946
0.0,1e-05,random_forest,3632,0.9922,0.7109
2.5e-05,0.4,logit,2754,0.9651,0.5284
2.5e-05,0.4,svm,2754,0.9673,0.5346
2.5e-05,0.4,random_forest,2754,0.9954,0.7258
2.5e-05,0.002,logit,2710,0.9697,0.5425
2.5e-05,0.002,svm,2710,0.9671,0.5383
2.5e-05,0.002,random_forest,2710,0.9946,0.7195
2.5e-05,0.0005,logit,2670,0.9694,0.5455
2.5e-05,0.0005,svm,2670,0.9511,0.5390
2.5e-05,0.0005,random_forest,2670,0.9950,0.7177
2.5e-05,5e-05,logit,2184,0.9600,0.5280
2.5e-05,5e-05,svm,2184,0.9593,0.4913
2.5e-05,5e-05,random_forest,2184,0.9941,0.7218
2.5e-05,2.5e-05,logit,1928,0.9466,0.5378
2.5e-05,2.5e-05,svm,1928,0.9443,0.5228
2.5e-05,2.5e-05,random_forest,1928,0.9938,0.7103
2.5e-05,1.25e-05,logit,1653,0.9405,0.5268
2.5e-05,1.25e-05,svm,1653,0.9359,0.5101
2.5e-05,1.25e-05,random_forest,1653,0.9939,0.7067
5e-05,0.4,logit,2057,0.9630,0.5311
5e-05,0.4,svm,2057,0.9618,0.5513
5e-05,0.4,random_forest,2057,0.9958,0.7175
5e-05,0.002,logit,2020,0.9577,0.5096
5e-05,0.002,svm,2020,0.9689,0.5447
5e-05,0.002,random_forest,2020,0.9945,0.7026
5e-05,0.0005,logit,1984,0.9586,0.5198
5e-05,0.0005,svm,1984,0.9654,0.5591
5e-05,0.0005,random_forest,1984,0.9945,0.7162
5e-05,5e-05,logit,1579,0.9607,0.5553
5e-05,5e-05,svm,1579,0.9474,0.5069
5e-05,5e-05,random_forest,1579,0.9940,0.7100
5e-05,2.5e-05,logit,1386,0.9431,0.6051
5e-05,2.5e-05,svm,1386,0.9415,0.5446
5e-05,2.5e-05,random_forest,1386,0.9943,0.7133
5e-05,1.25e-05,logit,1180,0.9221,0.5658
5e-05,1.25e-05,svm,1180,0.9463,0.5608
5e-05,1.25e-05,random_forest,1180,0.9943,0.7175
0.0001,0.4,logit,1354,0.9553,0.6131
0.0001,0.4,svm,1354,0.9286,0.6169
0.0001,0.4,random_forest,1354,0.9954,0.7264
0.0001,0.002,logit,1326,0.9464,0.5947
0.0001,0.002,svm,1326,0.9362,0.6426
0.0001,0.002,random_forest,1326,0.9952,0.7186
0.0001,0.0005,logit,1302,0.9432,0.6274
0.0001,0.0005,svm,1302,0.9394,0.6083
0.0001,0.0005,random_forest,1302,0.9946,0.7248
0.0001,5e-05,logit,1004,0.9429,0.5655
0.0001,5e-05,svm,1004,0.9474,0.5767
0.0001,5e-05,random_forest,1004,0.9948,0.7202
0.0001,2.5e-05,logit,880,0.9281,0.5981
0.0001,2.5e-05,svm,880,0.9356,0.6132
0.0001,2.5e-05,random_forest,880,0.9943,0.7149
0.00025,0.4,logit,703,0.9272,0.6193
0.00025,0.4,svm,703,0.9100,0.5945
0.00025,0.4,random_forest,703,0.9961,0.7225
0.00025,0.002,logit,683,0.9169,0.6086
0.00025,0.002,svm,683,0.9184,0.6435
0.00025,0.002,random_forest,683,0.9950,0.7137
0.00025,0.0005,logit,678,0.9075,0.6470
0.00025,0.0005,svm,678,0.9056,0.5913
0.00025,0.0005,random_forest,678,0.9943,0.7189
0.00025,5e-05,logit,522,0.8843,0.6070
0.00025,5e-05,svm,522,0.9085,0.5418
0.00025,5e-05,random_forest,522,0.9954,0.7208
0.00025,2.5e-05,logit,454,0.9010,0.6061
0.00025,2.5e-05,svm,454,0.8812,0.5760
0.00025,2.5e-05,random_forest,454,0.9938,0.7099
0.0005,0.4,logit,382,0.8618,0.5977
0.0005,0.4,svm,382,0.8558,0.5888
0.0005,0.4,random_forest,382,0.9958,0.7260
0.0005,0.002,logit,374,0.8384,0.5437
0.0005,0.002,svm,374,0.8150,0.6066
0.0005,0.002,random_forest,374,0.9946,0.7126
0.0005,0.0005,logit,374,0.8384,0.5437
0.0005,0.0005,svm,374,0.8150,0.6066
0.0005,0.0005,random_forest,374,0.9946,0.7126
0.0005,5e-05,logit,289,0.7601,0.5389
0.0005,5e-05,svm,289,0.7646,0.5191
0.0005,5e-05,random_forest,289,0.9951,0.7215
0.0005,2.5e-05,logit,249,0.7711,0.5399
0.0005,2.5e-05,svm,249,0.8244,0.5375
0.0005,2.5e-05,random_forest,249,0.9934,0.7222
0.001,0.4,logit,187,0.6823,0.5260
0.001,0.4,svm,187,0.6946,0.5908
0.001,0.4,random_forest,187,0.9940,0.7209
0.001,0.002,logit,185,0.6829,0.5600
0.001,0.002,svm,185,0.6582,0.5136
0.001,0.002,random_forest,185,0.9928,0.7100
0.001,0.0005,logit,185,0.6829,0.5600
0.001,0.0005,svm,185,0.6582,0.5136
0.001,0.0005,random_forest,185,0.9928,0.7100
0.001,5e-05,logit,147,0.6534,0.4380
0.001,5e-05,svm,147,0.6342,0.4051
0.001,5e-05,random_forest,147,0.9929,0.6931
